iter	RMSE
0	5.076254485
1	4.918154743
2	4.741576279
3	4.590567473
4	4.444131259
5	4.289697604
6	4.121827106
7	3.997128926
8	3.851462422
9	3.708782727
10	3.585925064
11	3.462576771
12	3.344795123
13	3.218254726
14	3.10367051
15	2.993439966
16	2.896892932
17	2.814427941
18	2.713618566
19	2.623349428
20	2.537212259
21	2.451400621
22	2.372707771
23	2.291919875
24	2.236491025
25	2.176994304
26	2.102849908
27	2.034340073
28	1.985674142
29	1.926004983
30	1.872307112
31	1.81794333
32	1.761671
33	1.710664714
34	1.655449708
35	1.60556192
36	1.552135865
37	1.502571874
38	1.454670146
39	1.412252205
40	1.368089077
41	1.329691552
42	1.299844693
43	1.260409065
44	1.224429487
45	1.187749189
46	1.151479122
47	1.113259145
48	1.089700868
49	1.058526364
50	1.026851232
51	0.992259499
52	0.9591826184
53	0.929959659
54	0.9047698032
55	0.8781614651
56	0.8556670721
57	0.8348433326
58	0.8118060389
59	0.7872019656
60	0.7692938848
61	0.7487637148
62	0.7302002392
63	0.7104631227
64	0.6905860364
65	0.6760630355
66	0.6609231314
67	0.6424311055
68	0.6287187589
69	0.6137796685
70	0.6002395073
71	0.5846827512
72	0.5711510004
73	0.5576502515
74	0.5450409605
75	0.5342247286
76	0.5229320201
77	0.5085393974
78	0.4984758484
79	0.4839412589
80	0.4730625642
81	0.4626748416
82	0.4543437868
83	0.444781415
84	0.436068786
85	0.4286826446
86	0.4201447652
87	0.4136312888
88	0.4057578981
89	0.4000254005
90	0.3940837982
91	0.3878661831
92	0.3802469675
93	0.3740366101
94	0.3685818011
95	0.3620707794
96	0.3561904664
97	0.3502135491
98	0.3458332792
99	0.3411932031
100	0.3361928644
101	0.3313731556
102	0.3272529895
103	0.3220035913
104	0.3184013598
105	0.3151427446
106	0.3094620668
107	0.3056756576
108	0.3012404042
109	0.2959145263
110	0.2920716994
111	0.2891499281
112	0.2855656946
113	0.2823104386
114	0.279887261
115	0.2770410089
116	0.2739956566
117	0.2693797147
118	0.2659914305
119	0.2621206807
120	0.2588225923
121	0.2564048614
