iter	Passed	Remaining
0	1	914
1	3	814
2	4	768
3	6	748
4	7	733
5	8	727
6	10	730
7	11	730
8	13	750
9	15	741
10	16	731
11	17	724
12	19	718
13	20	715
14	21	710
15	23	706
16	24	700
17	25	685
18	27	686
19	28	690
20	30	692
21	32	695
22	33	695
23	34	691
24	36	688
25	37	687
26	39	686
27	40	685
28	42	689
29	44	690
30	45	688
31	46	686
32	48	684
33	49	683
34	51	682
35	53	683
36	54	681
37	56	681
38	57	680
39	59	680
40	60	681
41	62	681
42	63	679
43	65	678
44	66	675
45	68	674
46	69	672
47	71	670
48	72	670
49	74	669
50	75	668
51	77	668
52	79	667
53	80	666
54	82	665
55	83	663
56	85	661
57	86	660
58	88	662
59	90	663
60	92	663
61	93	663
62	95	661
63	96	659
64	97	655
65	99	654
66	101	653
67	102	652
68	103	648
69	105	649
70	107	647
71	108	646
72	110	645
73	111	644
74	113	642
75	114	641
76	116	639
77	118	639
78	119	639
79	121	638
80	123	637
81	124	636
82	126	635
83	128	635
84	129	633
85	131	632
86	132	631
87	134	630
88	136	630
89	138	630
90	140	629
91	141	628
92	143	627
93	145	626
94	146	625
95	148	624
96	150	623
97	151	622
98	153	621
99	154	619
100	156	619
101	158	618
102	160	616
103	161	615
104	163	615
105	165	615
106	167	616
107	169	616
108	171	615
109	173	613
110	174	612
111	176	611
112	178	610
113	179	608
114	181	607
115	183	606
116	184	605
117	186	604
118	188	602
119	189	601
120	191	599
121	193	598
122	194	597
123	196	595
124	198	594
125	199	592
126	201	590
127	202	589
128	204	588
129	206	586
130	207	585
131	209	584
132	211	582
133	212	581
134	214	579
135	216	578
136	217	577
137	219	575
138	221	574
139	222	573
140	224	571
141	226	570
142	227	568
143	228	566
144	230	564
145	232	562
146	233	560
147	235	559
148	236	557
149	238	555
150	239	554
151	241	552
152	242	550
153	244	548
154	245	547
155	247	545
156	248	543
157	250	541
158	251	539
159	253	538
160	255	537
161	268	560
162	270	558
163	271	556
164	273	554
165	274	552
166	276	550
167	277	548
168	279	546
169	280	544
170	282	542
171	283	540
172	284	538
173	286	536
174	287	534
175	288	531
176	290	529
177	291	527
178	293	525
179	294	523
180	296	522
181	297	520
182	299	519
183	301	517
184	302	515
185	304	513
186	306	512
187	307	510
188	309	509
189	311	507
190	313	506
191	315	505
192	316	503
193	317	501
194	319	499
195	320	497
196	321	494
197	323	492
198	324	490
199	325	488
200	326	485
201	328	483
202	329	481
203	330	479
204	331	477
205	332	475
206	334	473
207	335	471
208	337	469
209	338	467
210	340	465
211	341	464
212	343	462
213	344	460
214	346	458
215	347	456
216	348	454
217	350	452
218	351	451
219	352	449
220	354	447
221	355	445
222	356	443
223	358	441
224	359	439
225	360	437
226	362	435
227	363	434
228	365	432
229	366	430
230	368	428
231	369	427
232	371	425
233	372	423
234	373	421
235	375	419
236	376	417
237	377	416
238	379	414
239	380	412
240	382	410
241	383	409
242	385	407
243	386	405
244	388	404
245	389	402
246	391	400
247	392	399
248	394	397
249	395	395
250	397	394
251	399	392
252	400	391
253	402	389
254	403	388
255	405	386
256	407	385
257	409	383
258	410	382
259	412	381
260	414	379
261	416	378
262	417	376
263	419	374
264	420	373
265	422	371
266	424	370
267	425	368
268	427	366
269	428	365
270	430	363
271	431	362
272	433	360
273	435	358
274	436	357
275	438	355
276	439	354
277	441	352
278	442	350
279	444	349
280	446	347
281	447	345
282	449	344
283	450	342
284	452	341
285	453	339
286	455	337
287	457	336
288	458	334
289	460	333
290	461	331
291	463	330
292	465	328
293	466	327
294	468	325
295	469	323
296	471	322
297	472	320
298	474	319
299	476	317
300	477	315
301	479	314
302	480	312
303	482	311
304	484	309
305	486	308
306	487	306
307	489	305
308	490	303
309	492	301
310	494	300
311	495	298
312	497	297
313	499	295
314	500	294
315	502	292
316	503	290
317	505	289
318	506	287
319	508	286
320	510	284
321	511	282
322	513	281
323	514	279
324	516	278
325	518	276
326	519	274
327	521	273
328	522	271
329	523	269
330	525	268
331	526	266
332	528	264
333	529	263
334	531	261
335	532	260
336	534	258
337	535	256
338	537	255
339	538	253
340	540	251
341	541	250
342	543	248
343	545	247
344	546	245
345	548	244
346	549	242
347	551	240
348	553	239
349	554	237
350	556	236
351	558	234
352	559	233
353	561	231
354	562	229
355	564	228
356	565	226
357	567	225
358	569	223
359	570	221
360	572	220
361	573	218
362	575	217
363	577	215
364	578	214
365	580	212
366	581	210
367	583	209
368	584	207
369	586	205
370	587	204
371	589	202
372	590	201
373	592	199
374	594	198
375	595	196
376	597	194
377	598	193
378	600	191
379	602	190
380	603	188
381	605	187
382	607	185
383	609	184
384	611	182
385	612	180
386	614	179
387	615	177
388	617	176
389	618	174
390	620	172
391	622	171
392	623	169
393	625	168
394	626	166
395	628	164
396	629	163
397	631	161
398	632	160
399	634	158
400	636	157
401	637	155
402	639	153
403	640	152
404	642	150
405	644	149
406	645	147
407	647	145
408	649	144
409	651	142
410	652	141
411	654	139
412	656	138
413	657	136
414	659	135
415	685	138
416	688	137
417	691	135
418	694	134
419	696	132
420	698	131
421	700	129
422	702	127
423	703	126
424	706	124
425	709	123
426	711	121
427	712	119
428	714	118
429	715	116
430	717	114
431	718	113
432	720	111
433	721	109
434	723	108
435	724	106
436	726	104
437	728	103
438	729	101
439	731	99
440	732	98
441	734	96
442	735	94
443	737	92
444	738	91
445	740	89
446	741	87
447	743	86
448	744	84
449	746	82
450	747	81
451	749	79
452	750	77
453	752	76
454	753	74
455	755	72
456	757	71
457	758	69
458	760	67
459	762	66
460	763	64
461	765	62
462	766	61
463	768	59
464	769	57
465	771	56
466	772	54
467	774	52
468	775	51
469	777	49
470	778	47
471	779	46
472	781	44
473	782	42
474	783	41
475	785	39
476	786	37
477	788	36
478	789	34
479	790	32
480	792	31
481	793	29
482	795	27
483	796	26
484	798	24
485	799	23
486	801	21
487	802	19
488	803	18
489	805	16
490	806	14
491	808	13
492	809	11
493	811	9
494	812	8
495	813	6
496	815	4
497	816	3
498	818	1
499	819	0
