Order_ID,Buyer_ID,Supplier_ID,Product_Category,Quantity_Ordered,Shipping_Mode,Order_Value_USD,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Organization_ID,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Supply_Risk_Flag,processing_time_days,transit_time_days,total_lead_time,resilience_score,resilience_label,risk_score
0,26,15,4,469,1,36273.99,0.0,1,0.0,11,0.73,4,0,127,1,10,0.0225,2.27,236.06,0,3,1.0,4,50.391999999999996,Medium,12.126999999999999
1,0,12,2,365,2,34780.36,0.0,1,0.0,1,0.88,18,1,909,1,7,0.0412,3.1,257.8,0,1,1.0,2,59.452,Medium,10.112
2,11,1,1,333,1,7154.54,7.0,2,0.0,19,0.95,14,0,262,1,8,0.1183,2.82,165.38,1,1,9.0,10,39.08,Low,16.505000000000003
3,46,1,2,142,1,15320.08,0.0,1,0.0,17,0.92,9,1,807,1,9,0.2611,3.59,377.47,0,3,3.0,6,45.068,Medium,13.308000000000002
4,44,24,2,897,2,18256.42,0.0,1,0.0,5,0.6,4,0,789,1,7,0.2775,3.42,83.1,0,2,2.0,4,55.739999999999995,Medium,10.940000000000001
5,49,2,3,814,1,40319.64,0.0,1,0.0,9,0.72,5,0,812,1,10,0.0268,2.41,150.24,0,2,9.0,11,52.188,Medium,11.728000000000002
6,27,23,1,849,2,14298.61,0.0,1,0.0,19,0.6,7,0,854,1,10,0.0935,2.41,386.85,0,2,9.0,11,43.14,Medium,13.740000000000002
7,47,23,1,136,0,10929.9,0.0,1,0.0,14,0.63,3,1,189,1,8,0.2549,1.13,246.71,0,2,9.0,11,47.652,Medium,12.737000000000002
8,7,16,1,115,3,47893.68,0.0,1,0.0,4,0.75,9,1,424,1,9,0.301,2.81,367.38,0,1,9.0,10,56.7,Medium,10.725000000000001
9,18,4,2,613,3,938.73,1.0,2,0.0,19,0.53,8,0,879,1,6,0.0827,3.14,305.37,1,1,9.0,10,42.512,Medium,14.147000000000002
10,23,17,4,808,1,49892.13,0.0,1,0.0,2,0.61,16,0,244,1,10,0.2054,2.64,477.82,0,3,3.0,6,58.444,Medium,10.339
11,23,5,1,387,1,34002.65,0.0,1,0.0,4,0.97,4,0,864,1,2,0.4532,1.97,319.01,0,4,5.0,9,56.788,Medium,10.703000000000001
12,36,22,2,914,1,41509.23,0.0,1,0.0,7,0.73,6,1,717,1,2,0.4995,3.75,56.69,0,4,7.0,11,53.992000000000004,Medium,11.327
13,43,28,3,60,3,15083.66,1.0,4,0.0,7,0.72,8,0,829,1,4,0.4937,0.84,208.79,1,2,8.0,10,53.388,Medium,11.728000000000002
14,22,25,4,38,0,1208.61,7.0,0,0.0,7,0.51,4,1,89,1,9,0.442,4.61,114.38,1,1,9.0,10,49.704,Medium,14.149000000000001
15,27,29,3,471,0,37024.54,0.0,1,0.0,11,0.62,11,1,656,1,7,0.2034,0.59,466.09,0,2,3.0,5,50.348,Medium,12.138000000000002
16,47,19,4,305,3,41790.16,1.0,0,0.0,7,0.93,8,0,31,1,2,0.3464,4.83,96.81,1,1,3.0,4,53.471999999999994,Medium,11.707
17,8,7,2,306,0,37153.57,0.0,1,0.0,10,0.58,5,1,486,1,8,0.2141,2.58,224.47,0,1,7.0,8,51.232,Medium,11.942
18,14,28,0,735,3,7571.09,2.0,0,0.0,13,0.71,13,0,852,1,7,0.3278,2.36,151.74,1,2,7.0,9,47.384,Medium,13.329000000000002
19,29,9,4,788,0,37794.68,5.0,0,0.0,7,0.51,3,0,449,1,9,0.1616,1.65,431.02,1,2,8.0,10,50.903999999999996,Medium,13.349
20,30,16,3,416,2,38561.68,7.5,3,0.0,9,0.74,14,0,746,1,8,0.307,0.55,188.85,1,2,15.0,17,46.196,Medium,15.726000000000003
