device_id,location,temperature,humidity,vibration_level,inventory_status,stock_quantity,order_id,supplier_id,supplier_rating,logistics_partner,shipment_status,weather_condition,manual_risk_label,delivery_delay_days,order_to_delivery_days,is_delayed,temp_risk,vibration_risk,inventory_risk,social_media_length,news_alert_length,system_log_length
11,0,27.48,48.62,1.98,0,188,1306,17,2.78,1,1,2,0,0,10.0,0,1,0,0,19,13,13
46,0,24.53,40.71,0.61,0,359,1964,11,1.08,2,2,2,0,2,8.0,1,1,2,0,19,13,13
32,2,22.1,44.75,0.3,0,459,977,53,1.03,2,0,2,0,-3,17.0,0,1,1,0,19,13,13
9,2,25.11,45.72,0.77,0,475,790,35,1.93,2,2,0,1,7,26.5,1,1,2,0,23,22,26
47,2,26.11,42.32,0.72,0,243,1776,44,1.19,3,2,2,0,-1,8.0,0,1,2,0,19,13,13
28,2,19.25,53.76,0.1,0,387,1765,37,3.25,3,1,2,0,7,21.0,1,1,1,0,19,13,13
40,2,24.3,49.67,0.39,0,91,228,98,1.49,3,2,2,0,-1,16.0,0,1,1,0,19,13,13
47,1,22.33,49.94,3.6,0,419,1321,20,4.02,3,0,2,0,-3,12.0,0,1,0,0,19,13,13
37,1,18.11,46.47,1.26,0,476,349,68,4.1,2,2,2,0,7,26.5,1,1,2,0,19,13,13
17,1,28.69,51.71,0.14,0,214,1068,98,4.84,1,2,2,0,-1,17.0,0,1,1,0,19,13,13
13,1,27.37,56.59,1.16,0,279,1261,72,2.12,3,2,2,0,-1,7.0,0,1,2,0,19,13,13
18,0,19.35,51.34,2.43,0,64,2154,17,2.69,2,1,2,0,-3,7.0,0,1,0,0,19,13,13
28,1,17.18,42.04,0.02,0,498,1998,46,3.92,2,2,2,0,-1,17.0,0,1,1,0,19,13,13
25,2,20.8,46.91,2.98,0,327,231,80,1.38,2,1,0,1,-1,7.0,0,1,0,0,23,22,26
32,2,32.34,38.76,1.64,0,171,1800,59,4.55,3,1,2,0,-3,13.0,0,0,0,0,19,13,13
38,0,19.81,49.24,1.87,0,256,555,96,1.94,3,1,2,0,-2,18.0,0,1,0,0,19,13,13
48,1,21.93,53.33,0.87,0,178,2030,0,3.55,3,1,2,0,-4,7.0,0,1,2,0,19,13,13
26,2,25.46,30.12,3.57,0,406,1402,77,3.16,2,2,0,1,-3,17.0,0,1,0,0,23,22,26
43,2,33.11,58.24,3.19,0,169,2499,76,3.53,3,0,0,1,4,18.0,1,0,0,0,23,22,26
48,1,26.29,53.15,0.31,0,285,1444,30,2.3,1,2,0,1,7,18.0,1,1,1,0,23,22,26
44,0,23.36,41.38,3.56,0,384,613,70,2.71,2,0,2,0,-4,7.0,0,1,0,0,19,13,13
32,1,26.48,52.61,0.01,0,455,1026,91,2.94,3,0,2,0,0,15.0,0,1,1,0,19,13,13
21,0,19.52,59.15,0.42,0,314,2120,28,3.08,1,0,2,0,-1,7.0,0,1,1,0,19,13,13
31,0,20.28,64.04,4.53125,0,51,1117,0,3.79,1,1,2,0,-2,14.0,0,1,0,0,19,13,13
33,2,21.21,54.57,4.53125,0,186,331,9,3.01,2,0,2,0,-1,7.0,0,1,0,0,19,13,13
5,0,24.04,53.02,0.23,0,171,645,60,3.21,2,0,2,0,-4,15.0,0,1,1,0,19,13,13
4,2,21.19,51.69,0.69,0,400,469,45,2.47,0,0,2,0,-1,18.0,0,1,2,0,19,13,13
41,2,32.03,63.92,1.15,0,239,475,93,1.6,3,2,0,1,1,10.0,1,0,2,0,23,22,26
4,2,34.67,50.81,2.93,0,251,2483,54,1.07,2,0,0,1,1,15.0,1,0,0,0,23,22,26
7,2,17.25,50.69,1.55,0,307,2081,6,2.59,1,2,2,0,7,26.5,1,1,2,0,19,13,13
2,1,31.24,50.66,1.69,0,440,2267,51,4.7,1,2,2,0,-2,12.0,0,0,0,0,19,13,13
0,1,23.22,55.56,1.62,0,345,1252,54,3.07,0,2,2,0,7,26.5,1,1,0,0,19,13,13
10,2,25.31,55.02,3.21,1,8,284,7,3.8,3,2,0,1,-5,14.0,0,1,0,0,23,22,26
31,1,25.54,51.06,0.78,0,160,2355,7,1.34,1,2,2,0,0,15.0,0,1,2,0,19,13,13
32,2,26.47,42.86,0.01,0,383,1134,72,2.94,2,1,2,0,0,12.0,0,1,1,0,19,13,13
22,0,25.75,49.84,0.29,0,67,394,72,2.3,3,0,2,0,-5,11.0,0,1,1,0,19,13,13
37,0,28.85,62.68,2.84,0,400,1480,50,3.17,2,1,2,0,-2,9.0,0,1,0,0,19,13,13
23,1,36.37,51.47,0.43,0,157,353,79,2.57,1,2,0,1,7,25.0,1,0,1,0,23,22,26
5,0,26.38,58.27,2.38,0,285,1252,8,3.68,2,0,2,0,-1,9.0,0,1,0,0,19,13,13
2,1,23.13,55.04,1.04,1,3,2515,83,3.58,1,1,2,0,-5,9.0,0,1,2,0,19,13,13
12,0,24.38,57.4,4.53125,0,98,502,14,1.3,1,1,0,1,7,26.5,1,1,0,0,23,22,26
1,1,20.25,44.03,0.47,0,322,1335,91,3.23,3,2,2,0,-2,14.0,0,1,1,0,19,13,13
8,0,25.87,53.85,1.27,0,279,2276,11,3.68,0,0,2,0,-1,9.0,0,1,2,0,19,13,13
0,1,18.47,42.49,0.52,0,473,636,20,3.79,0,1,2,0,0,18.0,0,1,1,0,19,13,13
29,2,20.2,63.82,0.52,0,246,542,69,2.02,1,0,2,0,-1,7.0,0,1,1,0,19,13,13
29,2,21.34,51.95,0.01,1,35,2007,39,3.6,3,2,2,0,4,12.0,1,1,1,0,19,13,13
5,0,29.77,56.51,3.31,0,470,1188,45,3.32,0,1,2,0,-1,15.0,0,1,0,0,19,13,13
7,2,34.45,43.24,0.6,0,185,870,22,2.15,3,0,0,1,1,13.0,1,0,2,0,23,22,26
9,2,22.93,50.8,0.06,0,325,523,60,3.15,2,2,2,0,0,12.0,0,1,1,0,19,13,13
15,1,29.83,44.89,0.48,0,107,1105,84,1.34,2,0,2,0,1,10.0,1,1,1,0,19,13,13
9,2,25.23,43.48,1.17,0,310,1327,51,1.53,3,2,2,0,-5,10.0,0,1,2,0,19,13,13
8,2,24.46,45.14,0.85,0,57,1253,76,1.1,0,0,2,0,-1,5.0,0,1,2,0,19,13,13
20,0,21.14,66.61,0.29,1,0,2392,73,1.96,2,0,0,1,-3,7.0,0,1,1,0,23,22,26
40,1,25.92,55.78,1.09,0,191,11,87,3.45,2,0,2,0,-3,15.0,0,1,2,0,19,13,13
44,0,17.4,45.16,0.66,0,484,1557,84,2.37,1,1,2,0,-3,14.0,0,1,2,0,19,13,13
26,1,28.5,56.0,0.64,0,253,1897,89,2.59,3,1,2,0,-3,11.0,0,1,2,0,19,13,13
4,1,32.72,63.23,0.07,0,222,1770,78,4.73,3,0,2,0,-2,15.0,0,0,1,0,19,13,13
0,1,38.98875,50.84,1.73,1,15,1358,74,3.57,3,0,0,1,-4,8.0,0,0,0,0,23,22,26
21,0,25.35,46.15,4.23,0,151,1039,94,3.29,2,1,2,0,-1,16.0,0,1,0,0,19,13,13
10,0,26.13,47.29,2.58,0,267,1580,86,4.84,3,2,2,0,-1,7.0,0,1,0,0,19,13,13
1,2,22.57,52.08,0.58,0,409,229,78,2.36,1,0,2,0,-1,11.0,0,1,2,0,19,13,13
35,0,24.86,32.84,1.77,0,113,956,51,4.51,2,2,2,0,-2,13.0,0,1,0,0,19,13,13
43,2,29.06,56.3,0.5,0,393,1980,89,3.27,0,2,2,0,-1,9.0,0,1,1,0,19,13,13
7,2,33.05,55.28,0.2,0,496,2142,85,2.36,3,0,0,1,1,12.0,1,0,1,0,23,22,26
41,0,32.76,45.6,2.11,0,360,1989,20,3.14,0,0,2,0,-3,14.0,0,0,0,0,19,13,13
43,2,12.72,49.23,0.53,1,18,1318,80,1.04,2,0,0,1,-3,14.0,0,1,1,0,23,22,26
44,0,26.62,48.7,4.51,0,338,1353,42,1.33,3,1,0,1,-2,9.0,0,1,0,0,23,22,26
49,2,26.01,41.95,1.21,0,468,1119,90,4.17,2,2,2,0,3,16.0,1,1,2,0,19,13,13
19,1,21.5,49.91,1.2,0,132,2511,7,3.18,2,0,2,0,-1,15.0,0,1,2,0,19,13,13
45,0,29.44,54.96,3.02,0,229,98,61,3.8,1,0,2,0,-4,14.0,0,1,0,0,19,13,13
43,1,22.64,52.32,0.13,0,338,1950,77,4.45,2,0,2,0,-3,15.0,0,1,1,0,19,13,13
9,1,23.41,54.58,3.57,0,300,2267,43,2.51,0,1,2,0,1,10.0,1,1,0,0,19,13,13
23,2,14.81,65.7,3.55,1,38,2474,75,2.01,1,2,1,2,-3,6.0,0,1,0,0,25,27,23
49,1,32.22,30.85,2.03,0,455,890,48,3.6,3,2,0,1,-3,5.0,0,0,0,0,23,22,26
13,1,27.6,65.33,4.53125,0,190,1770,32,1.33,1,0,0,1,-3,10.0,0,1,0,0,23,22,26
