Feature,Importance
Historical_Disruption_Count,82.79370259260925
Delay_Days,8.50201646078847
Supply_Risk_Flag,1.7728260527845605
total_lead_time,1.7263682160424778
transit_time_days,1.3924851803653846
Disruption_Type,0.8743762027892849
gnn_emb_1,0.21809384748618313
Supplier_Reliability_Score,0.2038080520077826
Federated_Round,0.18205270765522397
Product_Category,0.1647696906559498
Organization_ID,0.14265446326679274
Quantity_Ordered,0.12103504306678274
gnn_emb_52,0.11467047802564823
gnn_emb_41,0.09781660990434753
gnn_emb_50,0.08732491859859472
gnn_emb_35,0.08392803537671047
gnn_emb_19,0.08135016148667218
gnn_emb_20,0.07829547868260545
gnn_emb_57,0.07551303189947862
Energy_Consumption_Joules,0.07516350685565715
