Feature,Importance
Historical_Disruption_Count,6343.158121367218
Delay_Days,6034.266589783714
transit_time_days,172.53528911364265
Supply_Risk_Flag,20.895193396601826
Order_ID,18.994285356231558
Disruption_Type,13.283192621311173
total_lead_time,10.8936817504582
Parameter_Change_Magnitude,9.233688993088435
Buyer_ID,7.571093366132118
Communication_Cost_MB,6.220523302385118
Supplier_ID,6.023489842511481
Federated_Round,5.637049524404574
Order_Value_USD,5.010606002935674
Quantity_Ordered,4.238812752300873
Organization_ID,4.09887891728431
Supplier_Reliability_Score,3.365605107304873
Available_Historical_Records,3.1332146957865916
Energy_Consumption_Joules,3.1063111613621004
gnn_emb_1,2.2720461089047603
Dominant_Buyer_Flag,0.9156107850139961
