Feature,VIF
manual_risk_label,inf
social_media_length,inf
news_alert_length,inf
system_log_length,inf
weather_condition,inf
delivery_delay_days,4.891779202830027
is_delayed,3.520066985319098
order_to_delivery_days,2.3008218096378084
temp_risk,2.1847448431808645
temperature,1.839534969335024
vibration_level,1.755917871911434
vibration_risk,1.6007689582982705
inventory_status,1.5524888737944345
stock_quantity,1.3910586418921975
supplier_rating,1.2929427909396334
humidity,1.016587153432317
logistics_partner,1.0101582564983058
supplier_id,1.0084582197273715
shipment_status,1.0061512669474681
order_id,1.0045645977321669
device_id,1.0044736199273807
location,1.0044128174438622
inventory_risk,
